109 8  8
Station_Location: N-S
 -405000  378000  174000   90000   42000   30000  -18000
 -102000  -90000 -102000 -162000 -174000 -234000 -234000
 -306000 -306000 -378000 -378000   54000   30000   18000
   54000  -18000  -30000  -30000  -30000  -30000  -30000
  -30000  -18000  -90000  -90000 -102000  -90000 -102000
 -114000 -102000 -162000 -162000 -198000 -162000 -186000
 -162000 -186000 -174000 -234000 -234000 -258000 -258000
 -258000 -246000 -246000 -246000 -294000 -294000 -318000
 -330000 -318000 -306000 -318000 -318000 -318000 -366000
 -366000 -378000 -390000 -390000 -390000 -378000 -390000
  -90000  354000  390000  378000  294000  294000  294000
  330000  330000  330000  306000  246000  258000  258000
  258000  246000  246000  246000  246000  186000  174000
  198000  198000  186000  186000  186000  174000  126000
  114000  114000  114000  102000  114000  102000  114000
   42000   30000   30000   42000
Station_Location: E-W
 -354000  270000  282000  294000  294000  366000  294000
  258000  318000  405000  246000  318000  258000  330000
  246000  330000  282000  342000 -270000  102000  162000
  210000 -258000 -198000 -102000  -54000   30000   78000
  174000  222000 -318000 -174000 -102000  -30000   30000
  102000  174000 -306000 -270000 -198000 -114000  -18000
   42000  114000  174000 -294000 -246000 -162000 -102000
   -6000   54000  126000  174000 -381000 -282000 -222000
 -150000  -78000  -30000   54000  126000  186000 -306000
 -222000 -162000  -90000  -18000   54000  138000  198000
 -258000 -198000 -150000  186000 -318000 -258000 -150000
 -102000  -18000   42000  198000 -318000 -210000 -126000
  -42000    6000   66000  138000  210000 -306000 -210000
 -150000  -66000    6000   78000  150000  210000 -282000
 -198000 -138000  -66000    6000   66000  150000  222000
 -186000 -114000  -54000    6000
DATA_Period:   102.4000
  7.2352E-004 -1.0904E-003  1.7324E-003 -2.4483E-003 -1.2701E-003  1.7816E-003 -4.1472E-004  5.8100E-004
 -3.6084E-004  5.1118E-004  1.3481E-003 -2.6844E-003 -1.1712E-003  2.1360E-003  4.4627E-004 -7.9598E-004
  1.0037E-004 -1.3464E-004  1.1975E-003 -1.1742E-003 -6.2754E-004  6.9070E-004 -6.4459E-004  4.0951E-004
 -1.2205E-004  1.0706E-004  8.8728E-004 -1.6425E-003 -5.4588E-004  9.9221E-004 -3.3547E-004  7.0141E-004
 -4.8739E-005  1.1927E-005  7.9674E-004 -1.0279E-003 -5.6921E-004  1.0188E-003 -1.1422E-004  1.7496E-004
 -2.0934E-004  2.9317E-004  1.1157E-003 -1.2255E-003 -6.7262E-004  1.0501E-003  3.6226E-004 -2.9254E-004
 -4.4288E-004  8.3585E-004  9.6967E-004 -1.4362E-003 -9.1551E-004  1.8565E-003  1.0959E-004 -1.4251E-004
 -2.8809E-004  4.2819E-004  8.0259E-004 -1.0727E-003 -1.3951E-003  2.2389E-003  5.5907E-004 -7.6739E-004
 -7.4021E-005  1.8422E-004  4.9093E-004 -9.5646E-004 -1.0377E-003  1.8865E-003 -5.5952E-004  5.6892E-004
  1.0877E-005  3.1272E-004  2.1957E-003 -4.4629E-003 -5.8776E-004  1.6527E-003 -1.8022E-004  1.8628E-004
 -3.7739E-004  1.4623E-004  2.1557E-003 -2.1311E-003 -1.5830E-003  1.1054E-003  2.2613E-004  5.8293E-005
 -5.1151E-004  4.4792E-004  2.7316E-003 -1.8277E-003 -2.8564E-003  2.2854E-003 -7.7103E-004  2.1481E-004
 -2.6993E-004  1.9333E-004  7.4128E-004 -8.3342E-004 -2.4472E-003  2.8148E-003  1.1879E-003 -1.0166E-003
  1.5094E-003 -2.8320E-003  7.2499E-004 -1.3612E-003 -4.6670E-003  8.1388E-003  7.9208E-003 -1.3160E-002
 -5.5634E-004  2.0222E-004  9.9629E-004 -1.1333E-003 -8.7431E-004  5.7726E-004  3.6589E-004 -2.5817E-004
 -8.3284E-004  4.3707E-004  5.6418E-004 -1.0994E-003 -1.8498E-003  1.1316E-003  1.7492E-004 -2.1961E-004
 -2.5171E-003  6.0193E-003  1.4818E-002 -1.2295E-002 -2.6802E-003  5.6909E-003  1.1082E-002 -8.3560E-003
